"NOMBRE","ARCHIVO","ASIGNATURA","TRIMESTRE","PROFESOR"
"UD1 - INTRODUCCIÓN A LA REDES DE ÁREA LOCAL","apuntes/D_Introduccin_a_las_redes_de_rea_local.pdf","XALO","1º","SERGI ROMERO"
"UD2 -LA CAPA FÍSICA","apuntes/La_capa_fsica.pdf","XALO","1º","SERGI ROMERO"
"UD2 -LA CAPA FÍSICA","apuntes/La_capa_fsica._Cables_i_dispositius__(2).pdf","XALO","1º","SERGI ROMERO"
"UD2.2 - GESTIÓN DE USUARIOS Y GRUPOS.","apuntes/XALO_NICOLS_MIRO_TEMA_2-1.pdf","XALO","2º","NICOLAU MIRÓ"
"UD.1-HISTORIA","apuntes/APUNTES_HISTORIA.pdf","SOM","1º","JUAN CARLOS"
"UD-0 INTRODUCCIÓN","apuntes/NATALIA_GMEZ_BAREA_-_2223-SOM-Test_inicial.pdf","SOM","1º","JUAN CARLOS"
"UD.2-VIRTUALIZACIÓN Y SISTEMAS OPERATIVOS","apuntes/UD2.6-Algoritmos_de_planificacion-PRCTICA.pdf","SOM","1º","JUAN CARLOS"
"UD1 - INTRODUCCIÓN A LOS EQUIPOS Y SISTEMAS INFORMÁTICOS","apuntes/Tema_2.3.5_Componentes_activos.pdf","MMDE","1º","SEBASTIÁ ARROM"
"UD3.2 - PROPIEDAD, CONTROL DE ACCESO Y TIPOS DE PERMISOS","apuntes/XALO_APUNTES_TEMA_3.pdf","XALO","2º","NICOLAU MIRÓ"
"UD3. - LA CAPA DE ENLACE.","apuntes/Algoritmo_para_generar_el_cdigo_de_Hamming.pdf","XALO","2º","SERGI ROMERO"
"Javascript","apuntes/Tamagotchi.pdf","APOF","1º","MATIAS SALOM"
"UD.1-HISTORIA","apuntes/La_Historia_de_la_Computadora_y_Computacion_-_Documental_Completo_-.mp4.mp4","SOM","1º","JUAN CARLOS"
"Git/github","apuntes/4_GITHUB_2_VisualCode.pdf","APOF","1º","MATIAS SALOM"
"UD5 - CONVERSIONES DE MEDIDAS DE LA INFORMÁTICA","apuntes/03_Hexadecimal.pdf","MMDE","1º","GUSTAVO ROJAS"
"UD3. - LA CAPA DE ENLACE.","apuntes/Deteccin_de_errores_1.pdf","XALO","2º","SERGI ROMERO"
"UD4 - LA CAPA DE RED.","apuntes/Capa_de_red_I.pdf","XALO","2º","SERGI ROMERO"
"UD4 - COMPONENTES INTERNOS","apuntes/Cmo_funciona_un_monitor_LCD_parte2.mp4","MMDE","2º","SEBASTIÁ ARROM"
"UD1.2 - ISO PARTICIONES Y MÁQUINAS VIRTUALES","apuntes/XALO_NICOLS_MIRO_TEMA_1.pdf","XALO","1º","NICOLAU MIRÓ"
"UD2-MATERIAL PREVENCIÓN DE RIESGOS LABORALES","apuntes/GRAU_MITJ.LA_PREVENCI_DE_RISCOS_LABORALS.pptx-2.pdf","FOL","1º","SARA CASTRO"
