"NOMBRE","TIPO","FECHA","ASIGNATURA","ARCHIVO","📒 APUNTES","PROFESOR","TRIMESTRE"
"[ACTIVITAT 1] VELOCIDAD, DIFUSIÓN I CONMUTACIÓN","EJERCICIOS","28 de septiembre de 2022","XALO","archivos/A01.Mbps_difusi_commutaci.pdf","UD1 - INTRODUCCIÓN A LA REDES DE ÁREA LOCAL","SERGI ROMERO","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/1-Pautas_para_Informe_eficaz.docx.pdf","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/2-Exercici_ESTILOS_-_Word.pdf","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/NATALIA_GMEZ_BAREA__Y_GABRIEL_FERNNDEZ_TRAPERO__2-Traducci_col.laborativa_.pdf","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/4-Ejercicios_Word_Es__tilos_todoplano_NATALIA_GMEZ_BAREA.docx","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/5-confirmation_bias.docx","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/NATALIA_GÁMEZ_BAREA_-_6_-_Inicio_Markdown.pdf","","MATIAS SALOM","1º"
"2-Documents de Text","EJERCICIOS","8 de octubre de 2022","APOF","archivos/NATALIA_GÁMEZ_BAREA_-_7_-_Markdown_2.pdf","","MATIAS SALOM","1º"
"UD2.3-Virtualbox y SlitaZ","PRÁCTICAS","2 de noviembre de 2022","SOM","archivos/UD2_VBOX_A_FONDO_CON_SLITAZ.pdf","UD.2-VIRTUALIZACIÓN Y SISTEMAS OPERATIVOS","JUAN CARLOS","1º"
"1.4-Actividades","EJERCICIOS","6 de octubre de 2022","SOM","archivos/1.4-Actividades_Historia..pdf","UD.1-HISTORIA","JUAN CARLOS","1º"
"UD2.2-Presentación","EJERCICIOS","20 de agosto de 2022","SOM","archivos/UD2.5-Presentacin_Comunitaria.pdf","UD.2-VIRTUALIZACIÓN Y SISTEMAS OPERATIVOS","JUAN CARLOS","1º"
"PRÁCTICA 1 - USUARIOS , GESTIÓN DE PARTICIONES Y SISTEMAS OPERATIVOS.","PRACTICAS","2 de octubre de 2022 ","XALO","archivos/XALO_01_07_GMEZ_BAREA_NATALIA.pdf","UD1.2 - ISO PARTICIONES Y MÁQUINAS VIRTUALES","NICOLAU MIRÓ","1º"
"[ACTIVITAT 2] CONCEPTOS","EJERCICIOS","5 de octubre de 2022","XALO","archivos/_XALO_-_Actividad_2_Conceptos_NATALIA_GMEZ_BAREA.pdf","UD1 - INTRODUCCIÓN A LA REDES DE ÁREA LOCAL","SERGI ROMERO","1º"
"[ACTIVIDAD] EJERCICIOS DE LA CAPA FÍSICA","EJERCICIOS","14 de octubre de 2022","XALO","archivos/Actividad_1_La_transmissi_de_la_informaci_NATALIA_GMEZ_BAREA.pdf","UD2 -LA CAPA FÍSICA","SERGI ROMERO","1º"
"TRABAJO 5","PRÁCTICAS","16 de noviembre de 2022","MMDE","archivos/TRABAJO_5.pdf","UD1 - INTRODUCCIÓN A LOS EQUIPOS Y SISTEMAS INFORMÁTICOS","SEBASTIÁ ARROM","1º"
"[Entrega opcional] Paridad vertical y horizontal","EJERCICIOS","22 de diciembre de 2022","XALO","archivos/Entrega_opcional_Paridad_vertical_y_horizontal_NATALIA_GMEZ_BAREA.pdf","UD3. - LA CAPA DE ENLACE.","SERGI ROMERO","2º"
"EJERCICIO TEMA 2.3.1","EJERCICIOS","10 de octubre de 2022","MMDE","archivos/NATALIA_GMEZ_BAREA_-_Ejercicio_tema_2.3.1.pdf","UD2 - ELEMENTOS INTERNOS DE UN SISTEMA INFORMÁTICO","SEBASTIÁ ARROM","1º"
"1-INICI","EJERCICIOS","25 de septiembre de 2022","APOF","archivos/4-Treball_dempresa_informtica.pdf","","MATIAS SALOM","1º"
"TRABAJO 2","PRÁCTICAS","2 de noviembre de 2022","MMDE","archivos/TRABAJO_2.pdf","UD1 - INTRODUCCIÓN A LOS EQUIPOS Y SISTEMAS INFORMÁTICOS","SEBASTIÁ ARROM","1º"
"TRABAJO 3","PRÁCTICAS","9 de noviembre de 2022","MMDE","archivos/MMD_TRABAJO_3_NATALIA_GMEZ_BAREA.pdf","UD1 - INTRODUCCIÓN A LOS EQUIPOS Y SISTEMAS INFORMÁTICOS","SEBASTIÁ ARROM","1º"
"[EJERCICIO DE REPASO] CALCULO DE VELOCIDADES","EJERCICIOS","25 de octubre de 2022","XALO","archivos/Ejercicio.png","UD2 -LA CAPA FÍSICA","SERGI ROMERO","1º"
